run_model,lang,condition,word_at_1_mean,word_at_1_std,runs,ci95
bert-base-multilingual-cased,en_ewt,Original,0.2240050300990756,0.0217520639410324,3,0.024614777544698617
bert-base-multilingual-cased,en_ewt,Original+Lemma,0.1584611039462288,0.030141043045565606,3,0.03410780105938627
bert-base-multilingual-cased,en_ewt,FullyScrambled,0.012745532968925825,0.004157330840302415,3,0.004704462716327508
bert-base-multilingual-cased,en_ewt,FullyScrambled+Lemma,0.013582087184256908,0.005423746691311834,3,0.00613754716000065
bert-base-multilingual-cased,en_ewt,HeadScrambled,0.06374264962290914,0.006151095638670409,3,0.006960619976683087
bert-base-multilingual-cased,en_ewt,PartiallyScrambled,0.12474307802167477,0.016125041840227086,3,0.018247202604412212
bert-base-multilingual-cased,en_ewt,PartiallyScrambled+Lemma,0.08239346424680927,0.01983644689647996,3,0.022447052792678907
bert-base-multilingual-cased,de_gsd,Original,0.14678362573099416,0.009342654350609821,3,0.01057220864836961
bert-base-multilingual-cased,de_gsd,Original+Lemma,0.06337301587301587,0.01768341417289885,3,0.020010666908512997
bert-base-multilingual-cased,de_gsd,FullyScrambled,0.005,0.006614378277661477,3,0.007484873635094539
bert-base-multilingual-cased,de_gsd,FullyScrambled+Lemma,0.0016666666666666668,0.0014433756729740645,3,0.0016333333333333334
bert-base-multilingual-cased,de_gsd,HeadScrambled,0.07756056808688387,0.004909428090540511,3,0.005555540874095722
bert-base-multilingual-cased,de_gsd,PartiallyScrambled,0.08673558897243107,0.014185769466756946,3,0.016052709327776433
bert-base-multilingual-cased,de_gsd,PartiallyScrambled+Lemma,0.040866750208855475,0.008775143372460475,3,0.009930009521004528
bert-base-multilingual-cased,es_ancora,Original,0.25898078529657476,0.014469931558637237,3,0.016374269005847954
bert-base-multilingual-cased,es_ancora,Original+Lemma,0.1570593149540518,0.015107052063513052,3,0.017095238728040668
bert-base-multilingual-cased,es_ancora,FullyScrambled,0.007518796992481203,0.005012531328320802,3,0.005672213170985797
bert-base-multilingual-cased,es_ancora,FullyScrambled+Lemma,0.005847953216374269,0.0038283840392279362,3,0.004332224368994652
bert-base-multilingual-cased,es_ancora,HeadScrambled,0.06850459482038429,0.00630729693840497,3,0.007137378387084143
bert-base-multilingual-cased,es_ancora,PartiallyScrambled,0.14536340852130325,0.006630955666828547,3,0.0075036327168867545
bert-base-multilingual-cased,es_ancora,PartiallyScrambled+Lemma,0.08939014202172096,0.0038283840392279362,3,0.004332224368994652
bert-base-multilingual-cased,ru_syntagrus,Original,0.25651336557331544,0.023107053937407862,3,0.026148093069445596
bert-base-multilingual-cased,ru_syntagrus,Original+Lemma,0.10203085709414823,0.014685222762418492,3,0.016617893937384196
bert-base-multilingual-cased,ru_syntagrus,FullyScrambled,0.0033733964113710946,0.0038678517217662837,3,0.00437688625618475
bert-base-multilingual-cased,ru_syntagrus,FullyScrambled+Lemma,0.005905041980991348,0.002926983528112602,3,0.003312193666624046
bert-base-multilingual-cased,ru_syntagrus,HeadScrambled,0.06918366556611111,0.010067359305330023,3,0.011392289505723508
bert-base-multilingual-cased,ru_syntagrus,PartiallyScrambled,0.11475345889661896,0.00932659117179878,3,0.010554031450372843
bert-base-multilingual-cased,ru_syntagrus,PartiallyScrambled+Lemma,0.048908920427907766,0.01026304134120689,3,0.011613724574858108
bert-base-multilingual-cased,tr_imst,Original,0.012863441040236621,0.007945900790471576,3,0.008991633202252335
bert-base-multilingual-cased,tr_imst,Original+Lemma,0.01285583103764922,0.001590496609337812,3,0.001799816345270891
bert-base-multilingual-cased,tr_imst,FullyScrambled,0.003675631249714625,0.0015883043485248624,3,0.0017973355686247297
bert-base-multilingual-cased,tr_imst,FullyScrambled+Lemma,0.00642791551882461,0.004208058489399302,3,0.004761866455175939
bert-base-multilingual-cased,tr_imst,HeadScrambled,0.007353799166958383,0.004210569341678074,3,0.004764707752004466
bert-base-multilingual-cased,tr_imst,PartiallyScrambled,0.00848229063224098,0.00957688261838739,3,0.01083726288513788
bert-base-multilingual-cased,tr_imst,PartiallyScrambled+Lemma,0.010565623965574313,0.007191884145910424,3,0.008138383045339091
bert-base-multilingual-cased,zh_gsd,Original,0.41500000000000004,0.030310889132455356,3,0.034300000000000004
bert-base-multilingual-cased,zh_gsd,Original+Lemma,0.4141666666666666,0.03511884584284249,3,0.039740715197948404
bert-base-multilingual-cased,zh_gsd,FullyScrambled,0.01916666666666667,0.002886751345948127,3,0.0032666666666666647
bert-base-multilingual-cased,zh_gsd,FullyScrambled+Lemma,0.02,0.002499999999999998,3,0.002829016319029164
bert-base-multilingual-cased,zh_gsd,HeadScrambled,0.13,0.006614378277661482,3,0.007484873635094545
