run_model,lang,condition,word_at_1_mean,word_at_1_std,runs,ci95
bert-base-multilingual-cased,en_ewt,Original,0.2240050300990756,0.0217520639410324,3,0.024614777544698617
bert-base-multilingual-cased,en_ewt,Original+Lemma,0.159326722489725,0.030303541920761942,3,0.03429168584728799
bert-base-multilingual-cased,en_ewt,FullyScrambled,0.012745532968925825,0.004157330840302415,3,0.004704462716327508
bert-base-multilingual-cased,en_ewt,FullyScrambled+Lemma,0.013656279781311982,0.005453324238698088,3,0.006171017305693679
bert-base-multilingual-cased,en_ewt,HeadScrambled,0.06374264962290914,0.006151095638670409,3,0.006960619976683087
bert-base-multilingual-cased,en_ewt,PartiallyScrambled,0.12474307802167477,0.016125041840227086,3,0.018247202604412212
bert-base-multilingual-cased,en_ewt,PartiallyScrambled+Lemma,0.08284351669358013,0.019943779618429296,3,0.022568511201463103
bert-base-multilingual-cased,de_gsd,Original,0.14678362573099416,0.009342654350609821,3,0.01057220864836961
bert-base-multilingual-cased,de_gsd,Original+Lemma,0.06337301587301587,0.01768341417289885,3,0.020010666908512997
bert-base-multilingual-cased,de_gsd,FullyScrambled,0.005,0.006614378277661477,3,0.007484873635094539
bert-base-multilingual-cased,de_gsd,FullyScrambled+Lemma,0.0016666666666666668,0.0014433756729740645,3,0.0016333333333333334
bert-base-multilingual-cased,de_gsd,HeadScrambled,0.07756056808688387,0.004909428090540511,3,0.005555540874095722
bert-base-multilingual-cased,de_gsd,PartiallyScrambled,0.08673558897243107,0.014185769466756946,3,0.016052709327776433
bert-base-multilingual-cased,de_gsd,PartiallyScrambled+Lemma,0.040866750208855475,0.008775143372460475,3,0.009930009521004528
bert-base-multilingual-cased,es_ancora,Original,0.25898078529657476,0.014469931558637237,3,0.016374269005847954
bert-base-multilingual-cased,es_ancora,Original+Lemma,0.1570593149540518,0.015107052063513052,3,0.017095238728040668
bert-base-multilingual-cased,es_ancora,FullyScrambled,0.007518796992481203,0.005012531328320802,3,0.005672213170985797
bert-base-multilingual-cased,es_ancora,FullyScrambled+Lemma,0.005847953216374269,0.0038283840392279362,3,0.004332224368994652
bert-base-multilingual-cased,es_ancora,HeadScrambled,0.06850459482038429,0.00630729693840497,3,0.007137378387084143
bert-base-multilingual-cased,es_ancora,PartiallyScrambled,0.14536340852130325,0.006630955666828547,3,0.0075036327168867545
bert-base-multilingual-cased,es_ancora,PartiallyScrambled+Lemma,0.08939014202172096,0.0038283840392279362,3,0.004332224368994652
bert-base-multilingual-cased,ru_syntagrus,Original,0.25651336557331544,0.023107053937407862,3,0.026148093069445596
bert-base-multilingual-cased,ru_syntagrus,Original+Lemma,0.10211010488270657,0.014618039559770533,3,0.016541868986721907
bert-base-multilingual-cased,ru_syntagrus,FullyScrambled,0.0033733964113710946,0.0038678517217662837,3,0.00437688625618475
bert-base-multilingual-cased,ru_syntagrus,FullyScrambled+Lemma,0.0059114674773609426,0.0029325640099015825,3,0.0033185085762436747
bert-base-multilingual-cased,ru_syntagrus,HeadScrambled,0.06918366556611111,0.010067359305330023,3,0.011392289505723508
bert-base-multilingual-cased,ru_syntagrus,PartiallyScrambled,0.11475345889661896,0.00932659117179878,3,0.010554031450372843
bert-base-multilingual-cased,ru_syntagrus,PartiallyScrambled+Lemma,0.04894533157400214,0.010231944648812913,3,0.011578535354757953
bert-base-multilingual-cased,tr_imst,Original,0.006359649122807017,0.006252884837448795,3,0.007075805298461071
bert-base-multilingual-cased,tr_imst,Original+Lemma,0.012745503696347788,0.00035929780185571265,3,0.0004065837379364476
bert-base-multilingual-cased,tr_imst,FullyScrambled,0.0042763157894736845,0.0037070485755212644,3,0.004194920366233393
bert-base-multilingual-cased,tr_imst,FullyScrambled+Lemma,0.008469187906874105,0.0035626679894772335,3,0.00403153835260557
bert-base-multilingual-cased,tr_imst,HeadScrambled,0.006372751848173894,0.00017964890092785632,3,0.0002032918689682238
bert-base-multilingual-cased,tr_imst,PartiallyScrambled,0.00848229063224098,0.00957688261838739,3,0.01083726288513788
bert-base-multilingual-cased,tr_imst,PartiallyScrambled+Lemma,0.010565623965574313,0.007191884145910424,3,0.008138383045339091
bert-base-multilingual-cased,zh_gsd,Original,0.41500000000000004,0.030310889132455356,3,0.034300000000000004
bert-base-multilingual-cased,zh_gsd,Original+Lemma,0.4141666666666666,0.03511884584284249,3,0.039740715197948404
bert-base-multilingual-cased,zh_gsd,FullyScrambled,0.01916666666666667,0.002886751345948127,3,0.0032666666666666647
bert-base-multilingual-cased,zh_gsd,FullyScrambled+Lemma,0.02,0.002499999999999998,3,0.002829016319029164
bert-base-multilingual-cased,zh_gsd,HeadScrambled,0.13,0.006614378277661482,3,0.007484873635094545
bert-base-multilingual-cased,zh_gsd,PartiallyScrambled,0.20666666666666667,0.01941863366288508,3,0.021974252610220405
bert-base-multilingual-cased,zh_gsd,PartiallyScrambled+Lemma,0.20916666666666664,0.02428133714055579,3,0.027476919607392528
xlm-roberta-base,en_ewt,Original,0.2933116970274113,0.03287797859900972,3,0.037204935197316075
xlm-roberta-base,en_ewt,Original+Lemma,0.2115600053861487,0.03664179359936804,3,0.04146409282044426
xlm-roberta-base,en_ewt,FullyScrambled,0.010894300285124928,0.005427461282952151,3,0.006141750616148244
xlm-roberta-base,en_ewt,FullyScrambled+Lemma,0.007263694056397897,0.004151773447565061,3,0.004698173934429416
