model_name,lang,condition,word_at_1,word_at_5,pred_punct_rate,pred_stop_rate,N,run_seed,run_model
bert-base-multilingual-cased,de_gsd,FullyScrambled,0.0125,0.025,0.23,0.0825,400,789,bert-base-multilingual-cased
bert-base-multilingual-cased,de_gsd,FullyScrambled+Lemma,0.0025,0.02,0.24,0.1075,400,789,bert-base-multilingual-cased
bert-base-multilingual-cased,de_gsd,HeadScrambled,0.0775,0.1425,0.0875,0.1125,400,789,bert-base-multilingual-cased
bert-base-multilingual-cased,de_gsd,Original,0.1425,0.2925,0.0425,0.055,400,789,bert-base-multilingual-cased
bert-base-multilingual-cased,de_gsd,Original+Lemma,0.06,0.1925,0.0925,0.1,400,789,bert-base-multilingual-cased
bert-base-multilingual-cased,de_gsd,PartiallyScrambled,0.075,0.18,0.0775,0.06,400,789,bert-base-multilingual-cased
bert-base-multilingual-cased,de_gsd,PartiallyScrambled+Lemma,0.0325,0.11,0.1275,0.0925,400,789,bert-base-multilingual-cased
bert-base-multilingual-cased,en_ewt,FullyScrambled,0.01639344262295082,0.03551912568306011,0.23770491803278687,0.1830601092896175,366,789,bert-base-multilingual-cased
bert-base-multilingual-cased,en_ewt,FullyScrambled+Lemma,0.019021739130434784,0.02717391304347826,0.2418478260869565,0.16847826086956522,368,789,bert-base-multilingual-cased
bert-base-multilingual-cased,en_ewt,HeadScrambled,0.060109289617486336,0.1284153005464481,0.15027322404371585,0.13934426229508196,366,789,bert-base-multilingual-cased
bert-base-multilingual-cased,en_ewt,Original,0.2185792349726776,0.39344262295081966,0.0546448087431694,0.09836065573770492,366,789,bert-base-multilingual-cased
bert-base-multilingual-cased,en_ewt,Original+Lemma,0.16576086956521738,0.31521739130434784,0.057065217391304345,0.11684782608695653,368,789,bert-base-multilingual-cased
bert-base-multilingual-cased,en_ewt,PartiallyScrambled,0.12295081967213115,0.22404371584699453,0.07650273224043716,0.12568306010928962,366,789,bert-base-multilingual-cased
bert-base-multilingual-cased,en_ewt,PartiallyScrambled+Lemma,0.08967391304347826,0.19021739130434784,0.08152173913043478,0.15217391304347827,368,789,bert-base-multilingual-cased
bert-base-multilingual-cased,es_ancora,FullyScrambled,0.012531328320802004,0.03508771929824561,0.14035087719298245,0.18796992481203006,399,789,bert-base-multilingual-cased
bert-base-multilingual-cased,es_ancora,FullyScrambled+Lemma,0.002506265664160401,0.03759398496240601,0.17543859649122806,0.20802005012531327,399,789,bert-base-multilingual-cased
bert-base-multilingual-cased,es_ancora,HeadScrambled,0.06265664160401002,0.16791979949874686,0.07268170426065163,0.12531328320802004,399,789,bert-base-multilingual-cased
bert-base-multilingual-cased,es_ancora,Original,0.2506265664160401,0.42105263157894735,0.02756892230576441,0.07268170426065163,399,789,bert-base-multilingual-cased
bert-base-multilingual-cased,es_ancora,Original+Lemma,0.14285714285714285,0.2706766917293233,0.06766917293233082,0.07518796992481203,399,789,bert-base-multilingual-cased
bert-base-multilingual-cased,es_ancora,PartiallyScrambled,0.14285714285714285,0.2857142857142857,0.06265664160401002,0.11027568922305764,399,789,bert-base-multilingual-cased
bert-base-multilingual-cased,es_ancora,PartiallyScrambled+Lemma,0.08521303258145363,0.17543859649122806,0.07518796992481203,0.12030075187969924,399,789,bert-base-multilingual-cased
bert-base-multilingual-cased,ru_syntagrus,FullyScrambled,0.007594936708860759,0.017721518987341773,0.15443037974683543,0.06329113924050633,395,789,bert-base-multilingual-cased
bert-base-multilingual-cased,ru_syntagrus,FullyScrambled+Lemma,0.007594936708860759,0.015189873417721518,0.18734177215189873,0.053164556962025315,395,789,bert-base-multilingual-cased
bert-base-multilingual-cased,ru_syntagrus,HeadScrambled,0.06329113924050633,0.1240506329113924,0.08860759493670886,0.05822784810126582,395,789,bert-base-multilingual-cased
bert-base-multilingual-cased,ru_syntagrus,Original,0.2759493670886076,0.4151898734177215,0.017721518987341773,0.005063291139240506,395,789,bert-base-multilingual-cased
bert-base-multilingual-cased,ru_syntagrus,Original+Lemma,0.1189873417721519,0.19746835443037974,0.053164556962025315,0.035443037974683546,395,789,bert-base-multilingual-cased
